,department,proficiency_level,no_of_projects,manager_rating,promotion,project_score,hackerrank_score
0,1,3.0,28,1,1,0.0,0.0
1,1,0.0,21,4,1,0.0,0.0
2,3,0.0,13,2,0,20.0,21.0
3,3,0.0,13,2,0,39.0,17.0
4,3,0.0,13,2,0,20.0,18.0
5,4,0.0,2,4,0,50.0,35.0
6,2,0.0,22,4,1,100.0,100.0
7,2,2.0,25,1,1,0.0,0.0
8,4,0.0,25,3,1,59.0,89.0
9,4,2.0,17,4,1,61.0,59.0
10,4,2.0,17,4,1,82.0,99.0
11,4,2.0,17,4,1,79.0,92.0
12,4,5.0,30,1,1,63.0,76.0
13,4,4.0,30,1,1,63.0,76.0
14,3,4.0,3,5,1,29.0,100.0
15,4,0.0,6,1,1,99.0,92.0
16,4,0.0,6,1,1,54.0,67.0
17,1,1.0,19,5,1,53.0,76.0
18,1,0.0,19,5,1,0.0,0.0
19,1,3.0,29,4,1,0.0,0.0
20,2,3.0,25,3,1,75.0,62.0
21,1,0.0,17,4,1,86.0,59.0
22,3,3.0,13,4,1,0.0,0.0
23,3,5.0,13,4,1,0.0,0.0
24,1,2.0,13,2,1,77.0,63.0
25,1,2.0,13,2,1,73.0,88.0
26,1,7.0,13,2,1,77.0,63.0
27,1,7.0,13,2,1,73.0,88.0
28,1,10.0,9,2,0,93.0,50.0
29,1,10.0,9,2,0,14.0,3.0
30,0,0.0,15,5,1,84.0,49.0
31,0,0.0,15,5,1,87.0,59.0
32,1,2.0,11,2,1,86.0,85.0
33,3,0.0,29,5,1,59.0,90.0
34,0,0.0,24,2,0,0.0,43.0
35,0,0.0,23,1,0,98.0,63.0
36,0,0.0,23,1,0,1.0,36.0
37,1,0.0,18,2,0,18.0,46.0
38,0,5.0,29,3,1,0.0,0.0
39,0,3.0,29,3,1,0.0,0.0
40,0,3.0,29,3,1,0.0,0.0
41,2,5.0,16,4,1,54.0,65.0
42,1,5.0,7,3,0,42.0,16.0
43,4,1.0,19,5,1,70.0,83.0
44,0,3.0,10,5,1,67.0,71.0
45,0,4.0,10,5,1,67.0,71.0
46,4,0.0,21,3,1,87.0,55.0
47,4,0.0,21,3,1,95.0,75.0
48,1,5.0,24,3,1,98.0,87.0
49,1,5.0,24,3,1,86.0,91.0
50,0,0.0,4,3,1,94.0,64.0
51,3,0.0,20,2,1,0.0,0.0
52,3,0.0,7,1,1,69.0,70.0
53,3,0.0,7,1,1,53.0,100.0
54,3,0.0,7,1,1,90.0,69.0
55,3,2.0,25,4,1,0.0,0.0
56,2,0.0,13,3,1,97.0,58.0
57,0,0.0,28,2,1,0.0,0.0
58,4,0.0,20,3,1,88.0,60.0
59,2,0.0,26,3,1,0.0,0.0
60,4,0.0,3,3,1,91.0,51.0
61,4,0.0,3,3,1,66.0,80.0
62,0,0.0,27,2,0,8.0,15.0
63,0,0.0,27,2,0,44.0,3.0
64,1,0.0,8,1,0,9.0,50.0
65,1,0.0,8,1,0,24.0,10.0
66,4,0.0,6,4,0,0.0,0.0
67,3,2.0,8,3,1,63.0,95.0
68,3,1.0,8,3,1,63.0,95.0
69,0,0.0,15,3,1,0.0,0.0
70,1,5.0,12,5,1,51.0,95.0
71,1,3.0,12,5,1,51.0,95.0
72,2,0.0,3,2,1,69.0,57.0
73,3,0.0,22,3,1,88.0,97.0
74,2,0.0,19,4,1,83.0,60.0
75,2,0.0,19,4,1,58.0,59.0
76,1,0.0,21,5,1,0.0,0.0
77,4,0.0,21,2,1,91.0,54.0
78,0,0.0,7,2,1,96.0,86.0
79,0,0.0,7,2,1,69.0,71.0
80,3,1.0,26,2,0,14.0,6.0
81,3,1.0,26,2,0,24.0,17.0
82,2,0.0,29,4,1,0.0,0.0
83,0,0.0,14,5,1,61.0,86.0
84,1,0.0,10,1,0,0.0,0.0
85,0,0.0,23,5,1,87.0,96.0
86,2,0.0,14,1,1,66.0,65.0
87,3,5.0,19,4,1,0.0,0.0
88,3,1.0,19,4,1,0.0,0.0
89,3,6.0,19,4,1,0.0,0.0
90,2,5.0,6,4,1,57.0,93.0
91,2,5.0,6,4,1,90.0,75.0
92,2,5.0,6,4,1,69.0,76.0
93,2,5.0,6,4,1,65.0,65.0
94,2,5.0,6,4,1,57.0,93.0
95,2,5.0,6,4,1,90.0,75.0
96,2,5.0,6,4,1,69.0,76.0
97,2,5.0,6,4,1,65.0,65.0
98,1,0.0,24,3,1,93.0,60.0
99,0,0.0,10,2,0,0.0,0.0
100,3,0.0,14,1,1,61.0,83.0
101,2,0.0,1,2,0,0.0,0.0
102,1,5.0,19,1,1,55.0,67.0
103,0,0.0,4,2,0,34.0,46.0
104,0,0.0,4,2,0,9.0,31.0
105,0,0.0,4,2,0,48.0,5.0
106,0,0.0,25,5,1,0.0,0.0
107,2,10.0,9,3,1,64.0,97.0
108,0,2.0,21,2,1,0.0,0.0
109,3,0.0,10,2,0,33.0,43.0
110,3,2.0,30,4,1,0.0,0.0
111,1,0.0,2,3,0,50.0,17.0
112,3,0.0,19,5,1,72.0,84.0
113,3,0.0,19,5,1,82.0,90.0
